Point# (XPN),XPN X,XPN Y,XPN Z,HTol,LTol,XPR X,XPR Y,XPR Z,I,J,K,Deviation,Error,Correction_Magnitude,Remarks
1.0,23.11,18.18,220.0,0.08,0.0,23.146,18.109,220.0,0.512,-0.859,0.0,0.08,-0.0,0.726,Within tolerance
2.0,22.317,17.754,220.0,0.08,0.0,22.352,17.682,220.0,0.434,-0.901,0.0,0.08,-0.0,0.714,Within tolerance
3.0,21.497,17.382,220.0,0.08,0.0,21.539,17.314,220.0,0.428,-0.904,0.0,0.08,-0.0,0.736,Within tolerance
4.0,20.672,17.02,220.0,0.08,0.0,20.701,16.946,220.0,0.49,-0.872,0.0,0.08,-0.0,0.751,Within tolerance
5.0,19.871,16.608,220.0,0.08,0.0,19.907,16.536,220.0,0.507,-0.862,0.0,0.08,0.0,0.754,Out of spec
6.0,19.096,16.148,220.0,0.08,0.0,19.14,16.081,220.0,0.529,-0.849,0.0,0.08,-0.0,0.777,Within tolerance
7.0,18.345,15.651,220.0,0.08,0.0,18.395,15.589,220.0,0.555,-0.832,0.0,0.08,0.0,0.772,Out of spec
8.0,17.613,15.126,220.0,0.08,0.0,17.655,15.057,220.0,0.584,-0.811,0.0,0.08,-0.0,0.79,Within tolerance
9.0,16.897,14.579,220.0,0.08,0.0,16.945,14.515,220.0,0.607,-0.795,0.0,0.08,0.0,0.775,Out of spec
10.0,16.194,14.016,220.0,0.08,0.0,16.248,13.958,220.0,0.627,-0.779,0.0,0.08,-0.0,0.769,Within tolerance
11.0,15.501,13.441,220.0,0.08,0.0,15.546,13.375,220.0,0.649,-0.76,0.0,0.08,-0.0,0.771,Within tolerance
12.0,14.817,12.854,220.0,0.08,0.0,14.869,12.793,220.0,0.664,-0.748,0.0,0.08,-0.0,0.771,Within tolerance
13.0,14.142,12.257,220.0,0.08,0.0,14.183,12.188,220.0,0.676,-0.736,0.0,0.08,-0.0,0.762,Within tolerance
14.0,13.475,11.652,220.0,0.08,0.0,13.522,11.587,220.0,0.682,-0.731,0.0,0.08,0.0,0.76,Out of spec
15.0,12.814,11.039,220.0,0.08,0.0,12.868,10.979,220.0,0.687,-0.726,0.0,0.08,0.0,0.76,Out of spec
16.0,12.16,10.42,220.0,0.08,0.0,12.218,10.365,220.0,0.692,-0.722,0.0,0.08,-0.0,0.763,Within tolerance
17.0,11.511,9.796,220.0,0.08,0.0,11.56,9.733,220.0,0.697,-0.717,0.0,0.08,-0.0,0.765,Within tolerance
18.0,10.866,9.166,220.0,0.08,0.0,10.922,9.108,220.0,0.701,-0.713,0.0,0.08,-0.0,0.792,Within tolerance
19.0,10.227,8.531,220.0,0.08,0.0,10.287,8.478,220.0,0.705,-0.709,0.0,0.08,-0.0,0.79,Within tolerance
20.0,9.592,7.892,220.0,0.08,0.0,9.643,7.83,220.0,0.71,-0.704,0.0,0.08,-0.0,0.79,Within tolerance
21.0,8.962,7.248,220.0,0.08,0.0,9.018,7.191,220.0,0.714,-0.7,0.0,0.08,-0.0,0.782,Within tolerance
22.0,8.336,6.601,220.0,0.08,0.0,8.396,6.549,220.0,0.717,-0.697,0.0,0.08,0.0,0.78,Out of spec
23.0,7.713,5.95,220.0,0.08,0.0,7.766,5.89,220.0,0.722,-0.692,0.0,0.08,0.0,0.779,Out of spec
