Point# (XPN),XPN X,XPN Y,XPN Z,HTol,LTol,XPR X,XPR Y,XPR Z,Deviation,Error,Correction_Magnitude,Remarks
1.0,24.461,16.317,209.0,0.08,0.0,24.499,16.247,209.0,0.08,0.0,0.843,Out of spec
2.0,23.478,15.936,209.0,0.08,0.0,23.508,15.862,209.0,0.08,-0.0,0.833,Within tolerance
3.0,22.479,15.596,209.0,0.08,0.0,22.516,15.525,209.0,0.08,-0.0,0.809,Within tolerance
4.0,21.488,15.237,209.0,0.08,0.0,21.526,15.167,209.0,0.08,-0.0,0.862,Within tolerance
5.0,20.523,14.81,209.0,0.08,0.0,20.555,14.737,209.0,0.08,-0.0,0.829,Within tolerance
6.0,19.586,14.325,209.0,0.08,0.0,19.622,14.253,209.0,0.08,-0.0,0.828,Within tolerance
7.0,18.676,13.792,209.0,0.08,0.0,18.715,13.722,209.0,0.08,-0.0,0.81,Within tolerance
8.0,17.789,13.222,209.0,0.08,0.0,17.832,13.154,209.0,0.08,-0.0,0.838,Within tolerance
9.0,16.919,12.625,209.0,0.08,0.0,16.953,12.552,209.0,0.08,0.0,0.821,Out of spec
10.0,16.063,12.009,209.0,0.08,0.0,16.108,11.943,209.0,0.08,-0.0,0.793,Within tolerance
11.0,15.218,11.376,209.0,0.08,0.0,15.266,11.312,209.0,0.08,-0.0,0.793,Within tolerance
12.0,14.386,10.729,209.0,0.08,0.0,14.436,10.666,209.0,0.08,-0.0,0.791,Within tolerance
13.0,13.564,10.068,209.0,0.08,0.0,13.616,10.007,209.0,0.08,0.0,0.785,Out of spec
14.0,12.752,9.394,209.0,0.08,0.0,12.797,9.328,209.0,0.08,0.0,0.84,Out of spec
15.0,11.95,8.709,209.0,0.08,0.0,11.997,8.645,209.0,0.08,-0.0,0.827,Within tolerance
16.0,11.156,8.014,209.0,0.08,0.0,11.205,7.951,209.0,0.08,0.0,0.814,Out of spec
17.0,10.37,7.311,209.0,0.08,0.0,10.422,7.25,209.0,0.08,-0.0,0.804,Within tolerance
18.0,9.591,6.6,209.0,0.08,0.0,9.644,6.54,209.0,0.08,-0.0,0.798,Within tolerance
